,date,time,latitude,longitude,distance,speed,heart_rate,cadence,enhanced_speed,enhanced_altitude,fractional_cadence
103,11/6/22,14:53:58,40.60639101,-74.04559733,1339.16,NA,177,81,3.098,90,0
104,11/6/22,14:54:01,40.60642135,-74.04550186,1347.93,NA,177,81,3.107,89.8,0
105,11/6/22,14:54:06,40.60647517,-74.04533439,1363.3,NA,175,81,3.116,90,0
106,11/6/22,14:54:08,40.60649453,-74.04526717,1369.36,NA,174,80,3.116,90,0
107,11/6/22,14:54:15,40.60657382,-74.04503164,1391.12,NA,173,80,3.107,90.8,0
108,11/6/22,14:54:17,40.60659293,-74.04497062,1396.7,NA,173,80,3.107,90.4,0
109,11/6/22,14:54:24,40.60666569,-74.04473408,1418.28,NA,173,81,3.126,89.2,0
110,11/6/22,14:54:27,40.6067019,-74.0446283,1428.09,NA,172,81,3.126,88.8,0
111,11/6/22,14:54:34,40.60678069,-74.0443895,1450.14,NA,172,81,3.144,88.4,0
112,11/6/22,14:54:37,40.60681857,-74.04428045,1460.29,NA,172,81,3.154,88.2,0
113,11/6/22,14:54:44,40.60690239,-74.04403612,1483,NA,173,80,3.172,88.2,0
114,11/6/22,14:54:46,40.60692636,-74.0439658,1489.52,NA,173,80,3.182,88.4,0
115,11/6/22,14:54:47,40.6069381,-74.04392447,1493.25,NA,173,80,3.182,88.4,0
116,11/6/22,14:54:54,40.60701555,-74.04369037,1514.86,NA,173,80,3.191,88.6,0
117,11/6/22,14:54:55,40.60702753,-74.04365458,1518.16,NA,170,80,3.191,88.6,0
118,11/6/22,14:54:56,40.60703566,-74.04361853,1521.33,NA,173,80,3.191,88.6,0
119,11/6/22,14:55:03,40.60711571,-74.04337973,1543.38,NA,173,80,3.191,89.6,0
120,11/6/22,14:55:04,40.6071277,-74.04334788,1546.38,NA,173,80,3.191,89.8,0
121,11/6/22,14:55:11,40.60719433,-74.0431173,1567.23,NA,174,80,3.191,90.2,0
122,11/6/22,14:55:13,40.60721747,-74.04304823,1573.62,NA,174,80,3.191,90,0
123,11/6/22,14:55:20,40.6072945,-74.04280742,1595.72,NA,173,80,3.191,88.2,0
124,11/6/22,14:55:22,40.60731403,-74.04273366,1602.31,NA,173,80,3.2,87.6,0
125,11/6/22,14:55:25,40.60734705,-74.04262813,1611.94,NA,172,79,3.2,86.8,0
126,11/6/22,14:55:30,40.60739919,-74.04245529,1627.65,NA,174,79,3.2,86.6,0
127,11/6/22,14:55:37,40.60747806,-74.04221389,1649.84,NA,174,80,3.2,85.8,0
128,11/6/22,14:55:38,40.60749122,-74.04217894,1653.15,NA,174,80,3.2,85.8,0
129,11/6/22,14:55:45,40.60756448,-74.04193696,1675.18,NA,173,81,3.2,85.4,0
130,11/6/22,14:55:46,40.60758049,-74.04189647,1679.03,NA,172,81,3.2,85.2,0
131,11/6/22,14:55:53,40.60766011,-74.04166991,1700.16,NA,170,81,3.21,83.6,0
132,11/6/22,14:55:55,40.60768224,-74.04159883,1706.66,NA,169,80,3.21,83.4,0
133,11/6/22,14:55:56,40.60769205,-74.04156463,1709.75,NA,168,80,3.21,83.2,0
