Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type"">Type</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time"">Start Time</span>",Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count"">Jump Count</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit"">Total Grit</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow"">Avg Flow</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged"">Flagged</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_elapsed_speed"">Avg Elapsed Speed</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.dirt_distance"">Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_distance"">Newly Explored Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.newly_explored_dirt_distance"">Newly Explored Dirt Distance</span>","<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.activities.horton_values.sport_type"">Sport Type</span>"
4123435718,"Sep 27, 2020, 2:52:17 PM",This one really took a lot out of me...,Run,"",2877,8.04,196.0,104,false,,activities/4412148409.fit.gz,,,2877.0,2532.0,8046.39990234375,4.800000190734863,3.1778831481933594,4.109166622161865,9.30916976928711,2.9000000953674316,9.300000190734863,4.400000095367432,-0.06462517380714417,,,84.0,80.35638427734375,,165.9520263671875,,,475.0,,,104.0,,,,,,,,,,,0.0,,0.0,,1.0,8046.7001953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4125876032,"Sep 28, 2020, 9:30:05 PM",Hit the Bricks Day 1,Walk,Donate to the Brian Piccolo Cancer Research Fund at hitthebricks.wfu.edu!!,5726,8.21,127.0,18,false,,activities/4414719825.fit.gz,,,5726.0,5726.0,8214.900390625,3.5,1.434666395187378,13.989872932434082,12.389900207519531,3.0,9.300000190734863,5.099999904632568,0.01947680488228798,,,82.0,52.89521408081055,,114.02536010742188,,,492.0,,,18.0,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4131117255,"Sep 29, 2020, 5:48:47 PM",Channeled my inner momma and went with a speedy 3miles 🤗,Run,Hit the bricks day 2! Donate to the Brian Piccolo Cancer Research Fund at hitthebricks.wfu.edu!!,1927,4.83,198.0,49,false,,activities/4420301786.fit.gz,,,1927.0,1363.0,4831.60009765625,6.199999809265137,3.544827699661255,14.436570167541504,15.536600112915039,3.299999952316284,9.300000190734863,22.100000381469727,-0.022766785696148872,,,85.0,80.40142822265625,,161.95440673828125,,,247.0,,,49.0,,,,,,,,,,,0.0,,0.0,,1.0,4859.60009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4150669663,"Oct 3, 2020, 3:49:48 PM",Not mentally prepared for next week’s 10K 🙃,Run,"",1670,4.99,185.0,45,false,,activities/4441076082.fit.gz,,,1670.0,1488.0,4990.5,4.599999904632568,3.353830575942993,3.509523868560791,5.3095197677612305,3.0999999046325684,9.199999809265137,3.9000000953674316,-0.03606852889060974,,,85.0,79.9122543334961,,156.818603515625,,,265.0,,,45.0,,,,,,,,,,,0.0,,0.0,,1.0,4995.60009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4155787999,"Oct 5, 2020, 6:36:37 PM",‘Long’ run before 10k this weekend,Run,"",2101,6.44,179.0,66,false,,activities/4446514514.fit.gz,,,2101.0,2000.0,6442.0,4.599999904632568,3.2209999561309814,4.096250057220459,9.99625015258789,2.9000000953674316,9.300000190734863,4.699999809265137,-0.09158646315336227,,,86.0,80.23116302490234,,159.28700256347656,,,365.0,,,66.0,,,,,,,,,,,0.0,,0.0,,1.0,6439.60009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4160775379,"Oct 6, 2020, 9:13:57 PM","bchRUNclub V-RUN.16.12 - “Run fast” they said, “It’ll be fun” they said",Run,"A few things occurred on this quick run: 
1. I was told, “run fast” by a friend and that’s exactly what I did... but started wayyyyyy too fast
2. I realized once I turned around that part of the reason I was moving so fast was because of the MASSIVE tailwind... well, of course, with every run where there’s a tailwind, there’s also a headwind on the way back🙃
3. Finished the run off by having a gnat fly directly into my eye and I squished it by blinking. Then spent my cool down digging a dead gnat out of my eye.
Overall, probs a 7/10 run...🤷🏼‍♀️",1004,3.22,145.0,7,false,,activities/4451776874.fit.gz,,,1004.0,881.0,3222.5,5.800000190734863,3.6577751636505127,4.0923075675964355,8.092309951782227,3.200000047683716,9.300000190734863,4.400000095367432,-0.12412723153829575,,,85.0,81.85713958740234,,138.0824737548828,,,131.0,,,7.0,,,,,,,,,,,0.0,,0.0,,1.0,3222.199951171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4173547842,"Oct 9, 2020, 9:26:58 PM",Really good Friday run!,Run,Really good 5K run w/ .5mi ‘cool down’ before the virtual 10K on Sunday! Feeling good! Hoping for a PR :),1863,5.79,177.0,56,false,,activities/4465312237.fit.gz,,,1863.0,1712.0,5789.7998046875,5.199999809265137,3.381892442703247,13.032760620117188,13.832799911499023,0.20000000298023224,9.300000190734863,6.900000095367432,-0.013817403465509415,,,85.0,81.1808853149414,,159.0585479736328,,,311.0,,,56.0,,,,,,,,,,,0.0,,0.0,,1.0,5818.2001953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4183276832,"Oct 11, 2020, 9:37:05 PM",B10KW (Strava not updating🙃),Run,"",3015,9.97,,,false,,,,,3015.0,3015.0,9978.0,,3.309452772140503,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4183623273,"Oct 11, 2020, 6:58:58 PM",B10KW Virtual Run... and a PR!,Run,"Felt great for the first 4mi! Hit a wall at 5mi (which I knew was going to happen 🙃). But finished with a 3min PR! Felt good! Not the same as running in person, but still feels good to be part of a community, even at a distance 🤗",3016,9.97,176.0,111,false,,activities/4476018663.fit.gz,,,3016.0,3014.0,9974.099609375,4.199999809265137,3.3092567920684814,2.263333320617676,2.463330030441284,2.9000000953674316,5.300000190734863,5.599999904632568,-0.002005193382501602,,,85.0,81.80673217773438,,162.97508239746094,,,559.0,,,111.0,,,,,,,,,,,0.0,,0.0,,1.0,9984.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4229950031,"Oct 22, 2020, 5:55:43 PM",Afternoon Run,Run,"2mi - 15:25 w/ 2:30min cool down
Took a little over a week off after PRing in my 10K! I did a leg workout yesterday... Hamstrings are TIGHT and, because of that, a very painful run. Still feeling speedy though! ",1177,3.68,182.0,26,false,,activities/4525281618.fit.gz,,,1177.0,1074.0,3683.199951171875,5.0,3.429422616958618,7.506666660308838,3.1066699028015137,0.699999988079071,9.199999809265137,8.100000381469727,0.11946133524179459,,,83.0,80.2828369140625,,153.0635528564453,,,188.0,,,26.0,,,,,,,,,,,0.0,,0.0,,1.0,3704.60009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
